HRLM,TC,GSR,INCLY,INCLZ,INCLX
,32.4375,505,-0.1087637424,86.4115982055,-3.7491760253
,32.5,505,-0.162891674,86.2929229736,-3.4799242019
,32.375,505,-0.0821524906,86.5647506713,-3.5798373222
,32.4375,505,-0.1224244236,86.4637069702,-3.3945593833
,32.5,505,-0.1498730087,86.6477737426,-3.5747568607
,32.4375,505,-0.0679171323,86.4702453613,-3.5339179039
,32.4375,511,0.0136358308,86.5117034912,-3.3019516468
,32.5,505,-0.0962537193,86.7422943115,-3.465437889
,32.375,505,0.2444709062,86.5715789794,-3.5662169456
,32.5625,505,0.1092389106,86.4777526855,-3.4964115619
,32.4375,505,,86.5492401123,-3.4881103038
,32.4375,505,0.0408510732,86.5572967529,-3.379364252
,32.5,505,,86.6662902832,-3.598508358
,32.4375,505,-0.24519248,86.4387741088,-3.6581294536
,32.4375,511,-0.040921421,86.3872909545,-3.3609519004
,32.4375,505,,86.6847000122,-3.6047279834
,32.375,506,-0.1237450361,86.438796997,-3.5840933322
,32.3125,505,0.0544754314,86.4611434936,-3.4786446094
,32.4375,505,-0.0818002796,86.566040039,-3.6954505443
,32.5,505,-0.0408807277,86.3499679565,-3.4691603183
,32.5625,505,-0.0682488918,86.5758132934,-3.8051037788
,32.5,505,-0.2180541038,86.2342834472,-3.7064049243
,32.4375,508,-0.0817020034,86.3383407592,-3.714865446
,32.375,505,-0.0273967981,86.3306808471,-3.6607334613
,32.5,506,-0.1228516221,86.3828506469,-3.4076256752
,32.375,505,-0.6480466842,86.5768051147,-3.5551111698
,32.4375,505,-0.2049715518,86.4846191406,-3.6214284896
,32.375,505,-0.0680267143,86.4235839843,-3.4514310359
,32.625,505,-0.013633778,86.5941925048,-3.8105630874
,32.4375,505,-0.2574648618,86.2263717651,-3.6998381614
,32.375,505,-0.1227876424,86.3437652587,-3.6783578395
,32.375,505,-0.0136141991,86.3672637939,-3.3352632522
,32.4375,505,-0.1639370346,86.7063522338,-3.6972043514
,32.375,505,-0.0818002128,86.3475341796,-3.5806803703
,32.4375,506,-0.1632710552,86.4612350463,-3.5100154876
,32.4375,505,-0.1910879898,86.5304183959,-3.5211372375
,32.375,512,0.1227532267,86.5223693847,-3.7380127906
,32.5,505,-0.1226945519,86.3056182861,-3.6563766002
,32.375,505,-0.1636075735,86.3856048583,-3.6298394203
,32.375,505,-0.0815149688,86.414894104,-3.8123736381
,32.3125,505,-0.0682717704,86.2326660156,-3.6384506225
,32.5625,505,-0.1361802101,86.4046478271,-3.4955794811
,32.375,505,0.0136461484,86.5500411987,-3.3224112987
,32.375,504,0.1913078403,86.7177200317,-3.6061415672
,32.5625,511,0.0271982169,86.4393997192,-3.5442430973
,32.5625,506,-0.2849885177,86.4899368286,-3.5806365013
,32.5625,506,0.3265394687,86.4501190185,-3.5908465385
,32.4375,505,-0.3547587871,86.4372787475,-3.5372591018
,32.5,505,-0.2047310352,86.502456665,-3.7037711143
,32.625,505,-0.013607335,86.3418502807,-3.2985341548
,32.375,505,-0.2724567413,86.7358627319,-3.4839713573
,32.5,505,-0.0952062416,86.5603713989,-3.5138702392
,32.375,508,0.027117145,86.5316696166,-3.4160912036
,32.4375,505,0.0408056163,86.6293182373,-3.5654010772
,32.5,506,-0.2039948463,86.4744033813,-3.703366518
,32.5,505,-0.0682802915,86.3416519165,-3.3497602939
,32.5,505,-0.2313564062,86.6878890991,-3.6679110527
,32.5625,505,0.0271511769,86.3776397705,-3.4193336963
,32.375,512,0.0544590854,86.6258773803,-3.4576406478
,32.4375,505,-0.0680225467,86.5873413085,-3.5433163642
,32.375,505,0.0136194634,86.5023040771,-3.5322351455
,32.5,505,0.0817761039,86.5124664306,-3.4394426345
,32.3125,505,-0.1636849498,86.6023025512,-3.4443652629
,32.625,505,-0.1092792034,86.5995483398,-3.4864559173
,32.4375,505,0.0136105751,86.5591659545,-3.561265707
,32.4375,505,-0.0270644521,86.4842758178,-3.5391144752
,32.4375,511,0.0272066712,86.5064239501,-3.7173495292
,32.4375,505,0.0272142505,86.3282012939,-3.4711949825
,32.375,505,-0.2312722206,86.5667419433,-3.6598472595
,32.5625,505,-0.2047035217,86.3800659179,-3.8069374084
,32.4375,505,0.0681745529,86.2380981445,-3.5510027408
,32.4375,505,-0.0951767826,86.4933700561,-3.7915279865
,32.25,505,-0.0817719268,86.2532348632,-3.6010167598
,32.4375,505,0.0678990602,86.4439849853,-3.4307353496
,32.375,511,-0.0273202276,86.6147994995,-3.3362002372
,32.4375,505,-0.0408283805,86.709197998,-3.6164300441
,32.375,506,,86.4292221069,-3.6096844673
,32.5,506,0.0273280286,86.4358596801,-3.4304754734
,32.375,505,-0.1224439501,86.6129837036,-3.4410579204
,32.4375,505,-0.259289956,86.5948104858,-3.5033581256
,32.4375,505,-0.1226094365,86.5401382446,-3.7116575241
,32.4375,505,-0.2590899467,86.324935913,-3.8650298118
,32.375,511,-0.0136470031,86.1805953979,-3.4010338783
,32.5,505,,86.6446151733,-3.5141911506
,32.4375,505,-0.2186458349,86.5246429443,-3.8159988403
,32.4375,505,-0.1361851692,86.2272109985,-3.4860334396
,32.5,505,-0.368884468,86.5401000976,-3.6172728538
,32.4375,505,-0.1773336505,86.4240188598,-3.7778942584
9,32.3125,506,-0.2589469194,86.2588653564,-3.5789706707
9,32.375,505,-0.2320730924,86.4591445922,-3.7679138183
9,32.5,511,-0.0272840714,86.2776336669,-3.7306170463
9,32.4375,505,-0.1092450141,86.3134307861,-3.7226407527
9,32.375,505,-0.1090118045,86.3214035034,-3.4995076656
9,32.375,505,0.0677778148,86.5454788208,-3.7243874073
