INCLY,INCLZ,INCLX
1.7618709564,83.9784622192,-6.0813331604
2.0100519657,83.6383590698,-6.0778751373
1.9909688949,83.6476516723,-5.9689445495
1.8775657653,83.7863159179,-5.8977289199
1.9537148475,83.8305664062,-6.1066021919
2.0139605998,83.6131134033,-6.0589938163
2.129395008,83.6207199096,-5.903163433
2.0099165439,83.807395935,-5.8297915458
1.8675559997,83.9220581054,-5.7969880104
1.9203186988,83.936805725,-5.921596527
1.9480319976,83.8096847534,-6.0690374374
2.1971385478,83.5883331298,-5.8395967483
1.9298475265,83.8933258056,-6.187283039
1.9233635902,83.5640792846,-5.8375797271
1.9337882041,83.8939971923,-6.0880613327
1.7479721069,83.7097930908,-5.91014719
1.8849603652,83.8401489257,-5.878730297
2.0652651786,83.8122787475,-5.976149559
1.8848417282,83.7772445678,-6.1935272216
1.9844099044,83.5396118164,-5.8972005844
1.9762864112,83.8238830566,-5.8955650329
1.7617341041,83.8907012939,-5.9889140129
1.8752602577,83.7679595947,-6.1645169258
1.8746490478,83.6002807617,-6.1360588073
1.874302864,83.6276168823,-6.0323882102
2.0346367359,83.6769561767,-5.9093050956
1.9893857955,83.8082046508,-5.8703207969
1.7950238227,83.9051742553,-6.1098508834
2.0513100624,83.5981521606,-5.9193673133
2.0379648208,83.7829055786,-6.08644104
1.9525723457,83.6514205932,-5.8490481376
2.1237237453,83.8204498291,-5.7341165542
2.0672719478,83.9479141235,-6.0827775001
2.2875802516,83.5438995361,-6.0146369934
2.0424759387,83.6912460327,-5.9816055297
1.940866661,83.7548599243,-6.0829420089
2.0242650508,83.6323242187,-5.9557652473
1.6949296951,83.8517227172,-6.0899839401
2.0674219131,83.611793518,-6.0625710487
2.0987858772,83.6274871826,-5.8704738616
2.0816569328,83.8145751953,-5.9612236022
2.1618380546,83.7018585205,-6.1753258705
2.0185177326,83.5463638305,-6.0946769714
1.9389724731,83.647743225,-5.8412046432
1.8132200241,83.927619934,-6.0523777008
2.1997861862,83.6030960083,-5.9055757522
1.8519120216,83.8545455932,-5.6382493972
1.9630942344,84.0733337402,-6.1146888732
1.9169211387,83.6353454589,-5.9212021827
2.056921482,83.7749404907,-5.7816905975
2.0287539958,83.9160614013,-6.1299781799
2.0714688301,83.5725860595,-5.7400527
1.9882392883,83.9688186645,-5.7946166992
2.0867657661,83.8843231201,-5.9805765151
2.2120637893,83.6662902832,-5.9342479705
1.8980848312,83.8131637573,-5.6005744934
2.085489273,84.0670623779,-6.0207290649
1.7348730564,83.778175354,-5.9011311531
1.7770659923,83.8809280395,-6.0257172584
1.955132389,83.7084503173,-6.075826168
2.0855431556,83.6193008422,-6.0183596611
2.00739789,83.6989898681,-5.8931984901
1.9204473495,83.8453216552,-6.0459551811
1.8844928741,83.7107162475,-6.0831441879
1.969965744,83.6491851806,-5.2193255424
1.7415888309,84.5418930053,-6.1577591896
1.6310461997,83.6739273071,-5.7479834556
1.9720988273,83.9666137695,-5.9225549697
2.07102108,83.7689895629,-5.8046135902
2.159856081,83.8496322631,-5.8280158042
2.052255392,83.8644866943,-5.8238258361
1.9156543731,83.9127807617,-5.9160170555
2.0735220909,83.7743225097,-5.7035565376
1.9119620323,84.0281448364,-6.0906910896
2.0223088264,83.6255874633,-6.0027127265
1.9839654922,83.7212829589,-6.1331810951
2.1362130641,83.5483932495,-5.947376728
1.9202589988,83.7938308715,-5.9594411849
1.8738360404,83.7965240478,-6.0466003417
1.9300484657,83.6962966918,-6.1060328483
2.031923294,83.607963562,-5.9536232948
1.9859056472,83.7672729492,-5.9911117553
2.0527384281,83.7101898193,-5.7830696105
2.0750069618,83.89919281,-6.2484307289
1.8888233184,83.5157928466,-5.9286298751
2.0916054248,83.7563858032,-5.9243273735
1.8220252037,83.8455505371,-5.9502267837
1.7399974822,83.844467163,-5.9997720718
1.8200391769,83.7739562988,-6.0495700836
